Month,Cash,Indian Stocks,US Stocks,Crypto currency,ETFs,REITS,Digital Gold,Credit Card Loans,Loans,SBI Bank,Jio Payments Bank,Axis Bank,Mutual Funds,PPF,RD/FD,NPS,EPFO,Equity and Crypto Losses/Profit,Life Insurance,Health Insurance
5/12/2025,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0
11/1/2025,14000,49004.79,0,4402.83,16206.7,5147.4,0,-10065.96,0,55307.7,4179.59,77517.33,1000,1500,0,2000,3601,-827.1,0,0
11/30/2025,20000,48490.8,0,3465,17314.12,5155.44,0,-10099.39,0,90488.03,5179.59,87250.86,2000,2500,0,3000,3601,-1153.65,0,0
1/1/2026,25000,47297.12,0,3491.87,17907.1,5228.28,4786.110444,-16930.04,0,120903.87,6205.59,78004.92,3000,3500,0,4000,10801,-1735.78,-2009.44,0
1/14/2026,30000,47108.07,0,3764,18884.07,5260.8,5018.9058,-1791.8,0,90903.87,6205.59,8046.5,4000,4000,0,4000,10801,-549.45,-2009.44,0
1/19/2026,30000,47993.48,0,3739,19566.27,5233.8,5002.068203,-2936.05,0,40903.87,6205.59,4885.7,4000,4000,0,5000,10801,-535.64,-2009.44,0
2/2/2026,30000,45914.04,0,3374,19298.19,5243.28,5155.514164,-27013.81,0,40903.87,6205.59,70984.7,5000,5000,1000,5000,10801,-1770.88,-2009.44,-17302
2/28/2026,30000,46261.48,0,2716,32120.28,5100.36,11211.76699,-9392,0,57582.71,7195.59,77088.9,6000,5000,2000,6000,10801,635.18,-4016.88,-17302
4/2/2026,35000,41570.56,0,2845,29097.5,5159.64,23790.41977,-18928.8,0,59786.38,7680.09,70881.09,7000,7000,3000,7000,10801,-6871.23,-6026.32,-17302
5/1/2026,35000,45171.04,0,3295,29918.48,5097.12,33358.12143,-26271,0,89786.38,10398.09,72014.43,8000,8112,4032,8000,18001,-2734.17857,-8035.76,-17302
6/2/2026,35000,45858.55,0,2912,31184.88,5183.28,43325.19403,-27451.25,0,105704.21,11368.59,71754,9000,9112,5032,9000,18001,-411.23,-10045.2,-17302
6/30/2026,35000,48579.71,0,2688,28100.96,5187.36,41228.99806,-9721.93,0,28985.21,11380.59,21556.55,10000,10112,6032,10000,18001,-3582.91,-12054.64,-17302
7/4/2026,40000,49927.04,0,2708,29146.91,5362.44,43040.18491,-11407.14,0,44485.21,11380.59,91429.55,10000,10112,6032,10000,18001,507.45,-12054.64,-17302
8/4/2026,50000,49380.96,0,2781,28219.84,5284.2,49849.66307,-21736.85,0,80511.71,21380.59,92232.11,11000,11112,7113,11000,18001,-5026.276927,-14154.08,-17302
